Time Elapsed (since 00:00 01 Jan) [hours],Demand [MW],Solar Production (per MW installed) [MW],Wind Production (per MW installed) [MW]
0,1327,0,0.86
1,1269,0,0.85
2,1242,0,0.848
3,1228,0,0.847
4,1235,0,0.849
5,1215,0,0.847
6,1258,0,0.842
7,1310,0,0.877
8,1406,0,0.9
9,1485,0,0.906
10,1562,0.036,0.91
11,1608,0.078,0.925
12,1598,0.165,0.918
13,1551,0.187,0.914
14,1602,0.138,0.911
15,1589,0.101,0.916
16,1684,0.053,0.924
17,1639,0,0.937
18,1624,0,0.949
19,1572,0,0.971
20,1521,0,0.989
21,1459,0,0.991
22,1372,0,0.991
23,1262,0,0.991
24,1223,0,0.99
25,1198,0,0.991
26,1197,0,0.989
27,1202,0,0.978
28,1221,0,0.972
29,1220,0,0.953
30,1349,0,0.91
31,1477,0,0.833
32,1515,0,0.744
33,1526,0.024,0.654
34,1565,0.303,0.547
35,1523,0.491,0.453
36,1638,0.607,0.362
37,1438,0.617,0.264
38,1406,0.543,0.194
39,1350,0.429,0.141
40,1643,0.205,0.111
41,1640,0.002,0.055
42,1602,0,0.022
43,1563,0,0.007
44,1505,0,0.004
45,1413,0,0.013
46,1302,0,0.045
47,1186,0,0.074
48,1111,0,0.094
49,1093,0,0.14
50,1074,0,0.215
51,1051,0,0.261
52,1128,0,0.29
53,1159,0,0.311
54,1401,0,0.381
55,1432,0,0.449
56,1331,0,0.661
57,1415,0.032,0.9
58,1560,0.302,0.952
59,1470,0.332,0.944
60,1459,0.243,0.941
61,1439,0.189,0.926
62,1376,0.561,0.902
63,1472,0.325,0.882
64,1556,0.119,0.863
65,1526,0,0.855
66,1599,0,0.853
67,1561,0,0.831
68,1510,0,0.793
69,1437,0,0.773
70,1339,0,0.8
71,1251,0,0.834
72,1182,0,0.839
73,1155,0,0.835
74,1148,0,0.817
75,1139,0,0.734
76,1156,0,0.676
77,1196,0,0.597
78,1280,0,0.509
79,1369,0,0.437
80,1459,0,0.375
81,1524,0.006,0.338
82,1550,0.197,0.345
83,1526,0.42,0.348
84,1440,0.516,0.362
85,1397,0.657,0.398
86,1380,0.625,0.413
87,1432,0.495,0.42
88,1579,0.257,0.43
89,1600,0.006,0.444
90,1562,0,0.406
91,1524,0,0.345
92,1483,0,0.287
93,1424,0,0.233
94,1348,0,0.186
95,1262,0,0.168
96,1211,0,0.147
97,1175,0,0.133
98,1184,0,0.123
99,1180,0,0.11
100,1191,0,0.087
101,1228,0,0.06
102,1277,0,0.022
103,1385,0,0.011
104,1498,0,0.006
105,1549,0.035,0
106,1581,0.284,0
107,1584,0.435,0
108,1542,0.518,0.023
109,1479,0.336,0.085
110,1455,0.252,0.152
111,1497,0.141,0.191
112,1618,0.037,0.207
113,1663,0,0.204
114,1633,0,0.186
115,1615,0,0.178
116,1556,0,0.166
117,1472,0,0.168
118,1358,0,0.203
119,1273,0,0.277
120,1301,0,0.359
121,1217,0,0.435
122,1218,0,0.482
123,1109,0,0.504
124,1244,0,0.498
125,1339,0,0.481
126,1537,0,0.476
127,1711,0,0.512
128,1649,0,0.494
129,1616,0.001,0.437
130,1563,0.092,0.409
131,1561,0.35,0.378
132,1355,0.418,0.347
133,1465,0.275,0.315
134,1383,0.115,0.306
135,1466,0.053,0.317
136,1656,0.015,0.386
137,1699,0,0.457
138,1661,0,0.485
139,1648,0,0.47
140,1623,0,0.456
141,1533,0,0.464
142,1413,0,0.491
143,1307,0,0.521
144,1256,0,0.536
145,1247,0,0.525
146,1251,0,0.472
147,1254,0,0.376
148,1300,0,0.278
149,1375,0,0.162
